TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000448	-0.00126059	0.000448	-0.0920907	0.000448	-0.00287105
0.00045	0.000671966	0.00045	-0.0850047	0.00045	-0.000616404
0.000452	2.78E-05	0.000452	-0.0740535	0.000452	0.00228243
0.000454	-0.00158268	0.000454	-0.0605256	0.000454	0.0035708
0.000456	-0.000294312	0.000456	-0.0453873	0.000456	0.00453708
0.000458	0.000349874	0.000458	-0.0286385	0.000458	0.00582545
0.00046	-0.000616404	0.00046	-0.0115676	0.00046	0.00711382
0.000462	-0.00158268	0.000462	0.00485917	0.000462	0.00775801
0.000464	2.78E-05	0.000464	0.0212859	0.000464	0.00775801
0.000466	0.000349874	0.000466	0.0361022	0.000466	0.00775801
0.000468	-0.00190477	0.000468	0.049308	0.000468	0.00711382
0.00047	-0.000294312	0.00047	0.0596149	0.00047	0.00646963
0.000472	0.000994059	0.000472	0.066701	0.000472	0.00518126
0.000474	-0.000616404	0.000474	0.0724986	0.000474	0.00389289
0.000476	-0.000938497	0.000476	0.0741091	0.000476	0.00324871
0.000478	-0.000294312	0.000478	0.0728207	0.000478	0.00196034
0.00048	0.00131615	0.00048	0.0686335	0.00048	2.78E-05
0.000482	-0.00126059	0.000482	0.0615475	0.000482	-0.00254896
0.000484	-0.000616404	0.000484	0.0525289	0.000484	-0.00351524
0.000486	0.00163824	0.000486	0.0402894	0.000486	-0.00448152
0.000488	0.000349874	0.000488	0.028694	0.000488	-0.00544779
0.00049	2.78E-05	0.00049	0.0154882	0.00049	-0.00673617
0.000492	-0.000938497	0.000492	0.00228243	0.000492	-0.00738035
0.000494	0.000994059	0.000494	-0.0118896	0.000494	-0.00705826
0.000496	-0.000938497	0.000496	-0.0231629	0.000496	-0.00738035
0.000498	-0.00126059	0.000498	-0.0350803	0.000498	-0.00738035
0.0005	0.00131615	0.0005	-0.044421	0.0005	-0.00609198
0.000502	0.000994059	0.000502	-0.0521512	0.000502	-0.00641407
0.000504	-0.000616404	0.000504	-0.0569826	0.000504	-0.0051257
0.000506	-0.00222687	0.000506	-0.0589152	0.000506	-0.00448152
0.000508	0.000671966	0.000508	-0.0602035	0.000508	-0.00287105
0.00051	2.78E-05	0.00051	-0.0579489	0.00051	-0.00190477
0.000512	-0.000938497	0.000512	-0.0534396	0.000512	-0.000616404
0.000514	2.78E-05	0.000514	-0.0466757	0.000514	2.78E-05
0.000516	2.78E-05	0.000516	-0.0395896	0.000516	0.00163824
0.000518	-0.000938497	0.000518	-0.0302489	0.000518	0.00260452
0.00052	-0.00158268	0.00052	-0.019942	0.00052	0.00324871
0.000522	2.78E-05	0.000522	-0.00899081	0.000522	0.00421499
0.000524	-0.000294312	0.000524	0.00196034	0.000524	0.00421499
0.000526	-0.00158268	0.000526	0.0116231	0.000526	0.00389289
0.000528	-0.000616404	0.000528	0.0206417	0.000528	0.00421499
0.00053	0.000994059	0.00053	0.0290161	0.00053	0.00421499
0.000532	-0.000294312	0.000532	0.0361022	0.000532	0.00389289
0.000534	-0.00222687	0.000534	0.0412556	0.000534	0.00292662
0.000536	2.78E-05	0.000536	0.0444766	0.000536	0.00228243
0.000538	0.000671966	0.000538	0.046087	0.000538	0.00163824
0.00054	-0.000616404	0.00054	0.0447987	0.00054	0.000349874
0.000542	-0.000938497	0.000542	0.0428661	0.000542	2.78E-05
0.000544	0.000671966	0.000544	0.0373905	0.000544	-0.000938497
0.000546	0.000671966	0.000546	0.0322371	0.000546	-0.00222687
0.000548	-0.00158268	0.000548	0.0257952	0.000548	-0.00319315
0.00055	-0.000294312	0.00055	0.0183871	0.00055	-0.00415942
0.000552	0.000994059	0.000552	0.0100127	0.000552	-0.00448152
0.000554	-0.00126059	0.000554	0.00163824	0.000554	-0.00480361
0.000556	-0.00158268	0.000556	-0.00641407	0.000556	-0.00480361
0.000558	0.000349874	0.000558	-0.0151106	0.000558	-0.00480361
0.00056	0.00131615	0.00056	-0.0218745	0.00056	-0.00480361
0.000562	-0.00158268	0.000562	-0.0273501	0.000562	-0.00415942
0.000564	-0.000938497	0.000564	-0.0321815	0.000564	-0.00383733
0.000566	0.000994059	0.000566	-0.0360466	0.000566	-0.00319315
0.000568	2.78E-05	0.000568	-0.0370129	0.000568	-0.00287105
0.00057	-0.00126059	0.00057	-0.0379792	0.00057	-0.00190477
0.000572	-0.000294312	0.000572	-0.0360466	0.000572	-0.000938497
0.000574	0.000994059	0.000574	-0.0344361	0.000574	-0.000616404
0.000576	-0.000938497	0.000576	-0.0296047	0.000576	2.78E-05
0.000578	-0.000938497	0.000578	-0.0250954	0.000578	0.000671966
0.00058	0.000994059	0.00058	-0.0196199	0.00058	0.00196034
0.000582	2.78E-05	0.000582	-0.0128559	0.000582	0.00260452
0.000584	-0.00158268	0.000584	-0.00641407	0.000584	0.00228243
0.000586	-0.000616404	0.000586	0.000349874	0.000586	0.00260452
0.000588	0.000671966	0.000588	0.00614754	0.000588	0.00196034
0.00059	0.000349874	0.00059	0.0122673	0.00059	0.00228243
0.000592	-0.000938497	0.000592	0.0177429	0.000592	0.00260452
0.000594	0.000349874	0.000594	0.0219301	0.000594	0.00196034
0.000596	0.000671966	0.000596	0.0241847	0.000596	0.00196034
0.000598	-0.000938497	0.000598	0.0267615	0.000598	0.000994059
0.0006	-0.000294312	0.0006	0.0280498	0.0006	0.000671966
0.000602	0.000349874	0.000602	0.0274057	0.000602	0.000349874
0.000604	0.000671966	0.000604	0.025151	0.000604	-0.000294312
0.000606	-0.00158268	0.000606	0.0235405	0.000606	-0.00158268
0.000608	-0.000616404	0.000608	0.0199975	0.000608	-0.00222687
0.00061	0.000994059	0.00061	0.0154882	0.00061	-0.00222687
0.000612	-0.000616404	0.000612	0.011301	0.000612	-0.00287105
0.000614	-0.00158268	0.000614	0.00614754	0.000614	-0.00351524
0.000616	0.000349874	0.000616	0.000671966	0.000616	-0.00383733
0.000618	0.00163824	0.000618	-0.00480361	0.000618	-0.00254896
0.00062	-0.000616404	0.00062	-0.00899081	0.00062	-0.00351524
0.000622	-0.000616404	0.000622	-0.0138222	0.000622	-0.00319315
0.000624	0.000994059	0.000624	-0.0176873	0.000624	-0.00319315
0.000626	-0.000294312	0.000626	-0.019942	0.000626	-0.00319315
0.000628	-0.00126059	0.000628	-0.0225187	0.000628	-0.00190477
0.00063	-0.000294312	0.00063	-0.0231629	0.00063	-0.00190477
0.000632	0.000994059	0.000632	-0.0241292	0.000632	-0.00126059
0.000634	-0.000938497	0.000634	-0.0221966	0.000634	-0.00126059
0.000636	-0.00158268	0.000636	-0.0215524	0.000636	-0.000616404
0.000638	0.000671966	0.000638	-0.0192978	0.000638	2.78E-05
0.00064	0.000349874	0.00064	-0.0160769	0.00064	0.000349874
0.000642	-0.00158268	0.000642	-0.0125338	0.000642	0.000671966
0.000644	-0.00158268	0.000644	-0.00834663	0.000644	0.000994059
0.000646	0.000349874	0.000646	-0.00415942	0.000646	0.00131615
0.000648	-0.000616404	0.000648	-0.000294312	0.000648	0.00131615
0.00065	-0.00126059	0.00065	0.00389289	0.00065	0.000671966
0.000652	0.000349874	0.000652	0.00743591	0.000652	0.000349874
