TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000312	-0.0215524	0.000312	0.0135557	0.000312	0.00485917
0.000314	-0.023485	0.000314	0.0132336	0.000314	0.00421499
0.000316	-0.019942	0.000316	0.0135557	0.000316	0.00421499
0.000318	-0.016721	0.000318	0.0132336	0.000318	0.00389289
0.00032	-0.0192978	0.00032	0.0135557	0.00032	0.00292662
0.000322	-0.0183315	0.000322	0.0135557	0.000322	0.00196034
0.000324	-0.0141443	0.000324	0.0129115	0.000324	0.000994059
0.000326	-0.0151106	0.000326	0.0122673	0.000326	2.78E-05
0.000328	-0.016721	0.000328	0.0119452	0.000328	-0.000294312
0.00033	-0.013178	0.00033	0.011301	0.00033	-0.000616404
0.000332	-0.00899081	0.000332	0.0103347	0.000332	-0.000938497
0.000334	-0.0122117	0.000334	0.0100127	0.000334	-0.000616404
0.000336	-0.0112455	0.000336	0.00872428	0.000336	-0.00287105
0.000338	-0.00480361	0.000338	0.00775801	0.000338	-0.000938497
0.00034	-0.0051257	0.00034	0.00711382	0.00034	-0.00158268
0.000342	-0.00802454	0.000342	0.00614754	0.000342	-0.00287105
0.000344	-0.00641407	0.000344	0.00485917	0.000344	-0.00222687
0.000346	-0.000616404	0.000346	0.00453708	0.000346	-0.00287105
0.000348	-0.00158268	0.000348	0.00324871	0.000348	-0.00222687
0.00035	-0.00254896	0.00035	0.00228243	0.00035	-0.00190477
0.000352	-0.000294312	0.000352	0.00196034	0.000352	-0.00222687
0.000354	0.00163824	0.000354	2.78E-05	0.000354	-0.00190477
0.000356	-0.00126059	0.000356	-0.000294312	0.000356	-0.00126059
0.000358	0.00131615	0.000358	-0.00126059	0.000358	-0.000938497
0.00036	0.00389289	0.00036	-0.00254896	0.00036	-0.00254896
0.000362	0.00485917	0.000362	-0.00319315	0.000362	-0.00126059
0.000364	0.00260452	0.000364	-0.00351524	0.000364	-0.000938497
0.000366	0.00324871	0.000366	-0.00480361	0.000366	-0.000294312
0.000368	0.00614754	0.000368	-0.00576989	0.000368	-0.00126059
0.00037	0.00324871	0.00037	-0.00609198	0.00037	-0.000616404
0.000372	0.00228243	0.000372	-0.00641407	0.000372	-0.000294312
0.000374	0.00550336	0.000374	-0.00641407	0.000374	0.000349874
0.000376	0.00743591	0.000376	-0.00673617	0.000376	2.78E-05
0.000378	0.00518126	0.000378	-0.00770244	0.000378	0.000349874
0.00038	0.00292662	0.00038	-0.00770244	0.00038	0.00131615
0.000382	0.00614754	0.000382	-0.00770244	0.000382	0.00131615
0.000384	0.00582545	0.000384	-0.00802454	0.000384	0.000671966
0.000386	0.00453708	0.000386	-0.00802454	0.000386	0.000994059
0.000388	0.00324871	0.000388	-0.00802454	0.000388	0.00228243
0.00039	0.00646963	0.00039	-0.00802454	0.00039	0.00292662
0.000392	0.0035708	0.000392	-0.00834663	0.000392	0.00260452
0.000394	0.00260452	0.000394	-0.00802454	0.000394	0.00163824
0.000396	0.00518126	0.000396	-0.00834663	0.000396	0.00292662
0.000398	0.0035708	0.000398	-0.00738035	0.000398	0.0035708
0.0004	-0.000616404	0.0004	-0.00705826	0.0004	0.00292662
0.000402	2.78E-05	0.000402	-0.00641407	0.000402	0.00389289
0.000404	0.00518126	0.000404	-0.00673617	0.000404	0.00453708
0.000406	0.00131615	0.000406	-0.00705826	0.000406	0.00389289
0.000408	-0.00126059	0.000408	-0.00673617	0.000408	0.00324871
0.00041	0.00131615	0.00041	-0.00576989	0.00041	0.00324871
0.000412	0.00324871	0.000412	-0.00544779	0.000412	0.00389289
0.000414	0.000349874	0.000414	-0.00480361	0.000414	0.0035708
0.000416	-0.00287105	0.000416	-0.00480361	0.000416	0.00389289
0.000418	0.000994059	0.000418	-0.00480361	0.000418	0.00421499
0.00042	0.000671966	0.00042	-0.00448152	0.00042	0.00421499
0.000422	-0.00287105	0.000422	-0.00351524	0.000422	0.00389289
0.000424	-0.000938497	0.000424	-0.00351524	0.000424	0.00389289
0.000426	-0.00190477	0.000426	-0.00351524	0.000426	0.0035708
0.000428	-0.00158268	0.000428	-0.00222687	0.000428	0.00324871
0.00043	-0.00415942	0.00043	-0.00254896	0.00043	0.00324871
0.000432	-0.000616404	0.000432	-0.00158268	0.000432	0.00324871
0.000434	-0.00158268	0.000434	-0.00158268	0.000434	0.00292662
0.000436	-0.00641407	0.000436	-0.00190477	0.000436	0.00421499
0.000438	-0.0051257	0.000438	-0.00158268	0.000438	0.0035708
0.00044	-0.000616404	0.00044	-0.00190477	0.00044	0.00389289
0.000442	-0.00222687	0.000442	-0.00126059	0.000442	0.00389289
0.000444	-0.00705826	0.000444	-0.000938497	0.000444	0.00324871
0.000446	-0.00383733	0.000446	-0.000938497	0.000446	0.00324871
0.000448	-0.00190477	0.000448	-0.000938497	0.000448	0.00292662
0.00045	-0.00576989	0.00045	-0.000616404	0.00045	0.00324871
0.000452	-0.00738035	0.000452	-0.000938497	0.000452	0.00292662
0.000454	-0.00448152	0.000454	-0.000294312	0.000454	0.00324871
0.000456	2.78E-05	0.000456	2.78E-05	0.000456	0.00260452
0.000458	-0.00673617	0.000458	-0.000616404	0.000458	0.00163824
0.00046	-0.0051257	0.00046	-0.000294312	0.00046	0.00163824
0.000462	-0.00287105	0.000462	2.78E-05	0.000462	0.00324871
0.000464	-0.00126059	0.000464	0.000349874	0.000464	0.00260452
0.000466	-0.00673617	0.000466	-0.000616404	0.000466	0.00389289
