TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R									
0.000138	0.274773	0.000138	-0.314657	0.000138	0.0570382			0.000138	-0.314657	1.36E-02
0.00014	0.10503	0.00014	-0.169715	0.00014	0.0654126			0.00014	-0.169715	1.36E-02
0.000142	-0.0511849	0.000142	-0.0241292	0.000142	0.0715324			0.000142	-0.0241292	1.36E-02
0.000144	-0.206756	0.000144	0.115015	0.000144	0.073787			0.000144	0.115015	1.36E-02
0.000146	-0.342679	0.000146	0.243208	0.000146	0.0741091			0.000146	0.243208	1.36E-02
0.000148	-0.465074	0.000148	0.356907	0.000148	0.0715324			0.000148	0.356907	1.36E-02
0.00015	-0.556548	0.00015	0.451924	0.00015	0.066701			0.00015	0.451924	1.36E-02
0.000152	-0.626442	0.000152	0.525362	0.000152	0.0589707			0.000152	0.525362	1.36E-02
0.000154	-0.677977	0.000154	0.576574	0.000154	0.049308			0.000154	0.576574	1.36E-02
0.000156	-0.695047	0.000156	0.606851	0.000156	0.0393231			0.000156	0.606851	1.36E-02
0.000158	-0.683774	0.000158	0.60975	0.000158	0.0277278			0.000158	0.60975	1.36E-02
0.00016	-0.655108	0.00016	0.591069	0.00016	0.014522			0.00016	0.591069	1.36E-02
0.000162	-0.598742	0.000162	0.552095	0.000162	0.00260452			0.000162	0.552095	1.36E-02
0.000164	-0.523372	0.000164	0.494118	0.000164	-0.009635			0.000164	0.494118	1.36E-02
0.000166	-0.427711	0.000166	0.419715	0.000166	-0.019942			0.000166	0.419715	1.36E-02
0.000168	-0.330761	0.000168	0.33436	0.000168	-0.0292827			0.000168	0.33436	1.36E-02
0.00017	-0.223504	0.00017	0.240953	0.00017	-0.0379792			0.00017	0.240953	1.36E-02
0.000172	-0.109806	0.000172	0.143037	0.000172	-0.0447431			0.000172	0.143037	1.36E-02
0.000174	0.00292662	0.000174	0.0435103	0.000174	-0.0492524			0.000174	0.0435103	1.36E-02
0.000176	0.107607	0.000176	-0.0524733	0.000176	-0.051507			0.000176	-0.0524733	1.36E-02
0.000178	0.20198	0.000178	-0.142981	0.000178	-0.0518291			0.000178	-0.142981	1.36E-02
0.00018	0.293454	0.00018	-0.223182	0.00018	-0.0508629			0.00018	-0.223182	1.36E-02
0.000182	0.359806	0.000182	-0.292754	0.000182	-0.0476419			0.000182	-0.292754	1.36E-02
0.000184	0.410052	0.000184	-0.346222	0.000184	-0.0421664			0.000184	-0.346222	1.36E-02
0.000186	0.450314	0.000186	-0.384229	0.000186	-0.0366908			0.000186	-0.384229	1.36E-02
0.000188	0.466418	0.000188	-0.408063	0.000188	-0.0296047			0.000188	-0.408063	1.36E-02
0.00019	0.462553	0.00019	-0.414827	0.00019	-0.0218745			0.00019	-0.414827	1.36E-02
0.000192	0.44355	0.000192	-0.405809	0.000192	-0.0141443			0.000192	-0.405809	1.36E-02
0.000194	0.412307	0.000194	-0.381974	0.000194	-0.00448152			0.000194	-0.381974	1.36E-02
0.000196	0.363671	0.000196	-0.344611	0.000196	0.00389289			0.000196	-0.344611	1.36E-02
0.000198	0.30054	0.000198	-0.295653	0.000198	0.0109789			0.000198	-0.295653	1.36E-02
0.0002	0.232579	0.0002	-0.238643	0.0002	0.0174208			0.0002	-0.238643	1.36E-02
