TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R
0.000262	0.0625138	0.000262	-0.0753419	0.000262	0.0187092
0.000264	0.0480196	0.000264	-0.068578	0.000264	0.0196754
0.000266	0.039001	0.000266	-0.0611698	0.000266	0.021608
0.000268	0.0322371	0.000268	-0.0544059	0.000268	0.0228964
0.00027	0.0228964	0.00027	-0.0469977	0.00027	0.0228964
0.000272	0.0125894	0.000272	-0.0392675	0.000272	0.0241847
0.000274	0.00260452	0.000274	-0.0325036	0.000274	0.0248289
0.000276	0.000349874	0.000276	-0.0241292	0.000276	0.0248289
0.000278	-0.0118896	0.000278	-0.0176873	0.000278	0.0241847
0.00028	-0.0212303	0.00028	-0.0106013	0.00028	0.0238626
0.000282	-0.0238071	0.000282	-0.00415942	0.000282	0.0232185
0.000284	-0.0299268	0.000284	0.00163824	0.000284	0.021608
0.000286	-0.0366908	0.000286	0.00872428	0.000286	0.0219301
0.000288	-0.044421	0.000288	0.0135557	0.000288	0.0206417
0.00029	-0.0418443	0.00029	0.0190312	0.00029	0.0190312
0.000292	-0.047964	0.000292	0.0238626	0.000292	0.0183871
0.000294	-0.0527954	0.000294	0.0280498	0.000294	0.0170987
0.000296	-0.0540838	0.000296	0.0315929	0.000296	0.0154882
0.000298	-0.0556942	0.000298	0.0348138	0.000298	0.0151661
0.0003	-0.0595594	0.0003	0.0386789	0.0003	0.0135557
0.000302	-0.0624582	0.000302	0.0399673	0.000302	0.0106568
0.000304	-0.0598814	0.000304	0.0422219	0.000304	0.0100127
0.000306	-0.0592373	0.000306	0.0438324	0.000306	0.00840219
0.000308	-0.0614919	0.000308	0.0444766	0.000308	0.00711382
0.00031	-0.0589152	0.00031	0.0451208	0.00031	0.00518126
0.000312	-0.0573047	0.000312	0.0451208	0.000312	0.00324871
0.000314	-0.0521512	0.000314	0.0451208	0.000314	0.00228243
0.000316	-0.0550501	0.000316	0.0441545	0.000316	0.00163824
0.000318	-0.0498966	0.000318	0.0431882	0.000318	2.78E-05
