TimeV_S	AmplitudeV_S	TimeV_C	AmplitudeV_C	TimeV_R	AmplitudeV_R		
0.000298	0.00646963	0.000298	0.110184	0.000298	-0.00738035
0.0003	0.00743591	0.0003	0.0824835	0.0003	-0.0102792
0.000302	0.00389289	0.000302	0.0541394	0.000302	-0.0128559
0.000304	0.0080801	0.000304	0.0241847	0.000304	-0.0147885
0.000306	0.00518126	0.000306	-0.00544779	0.000306	-0.0147885
0.000308	0.00614754	0.000308	-0.0344361	0.000308	-0.0157548
0.00031	0.00550336	0.00031	-0.0598814	0.00031	-0.0154327
0.000312	0.00485917	0.000312	-0.0837163	0.000312	-0.0151106
0.000314	0.00421499	0.000314	-0.102076	0.000314	-0.0135001
0.000316	0.00228243	0.000316	-0.116248	0.000316	-0.0122117
0.000318	0.00260452	0.000318	-0.124944	0.000318	-0.00995709
0.00032	-0.00222687	0.00032	-0.128809	0.00032	-0.00770244
0.000322	2.78E-05	0.000322	-0.127199	0.000322	-0.0051257
0.000324	-0.000616404	0.000324	-0.121723	0.000324	-0.00254896
0.000326	-0.00351524	0.000326	-0.111738	0.000326	-0.000616404
0.000328	-0.00609198	0.000328	-0.0975663	0.000328	0.00196034
0.00033	-0.00415942	0.00033	-0.0804954	0.00033	0.00421499
0.000332	-0.00544779	0.000332	-0.0614919	0.000332	0.00582545
0.000334	-0.00641407	0.000334	-0.0395896	0.000334	0.00711382
0.000336	-0.00705826	0.000336	-0.0189757	0.000336	0.00904638
0.000338	-0.00866872	0.000338	0.00228243	0.000338	0.00840219
0.00034	-0.00705826	0.00034	0.0222522	0.00034	0.00936847
0.000342	-0.00802454	0.000342	0.0412556	0.000342	0.00936847
0.000344	-0.00770244	0.000344	0.0570382	0.000344	0.00840219
0.000346	-0.00254896	0.000346	0.0699219	0.000346	0.00743591
0.000348	-0.0051257	0.000348	0.0795847	0.000348	0.00679173
0.00035	-0.000938497	0.00035	0.0860265	0.00035	0.00485917
0.000352	-0.00158268	0.000352	0.0879591	0.000352	0.00389289
