Time	Noise			
0.000258	2.50721			
0.00026	2.50721			
0.000262	2.51172			
0.000264	2.50721			
0.000266	2.50786			
0.000268	2.50754			
0.00027	2.50818			
0.000272	2.50657			
0.000274	2.50689			
0.000276	2.51011			
0.000278	2.50915			
0.00028	2.50721			
0.000282	2.50754			
0.000284	2.50979			
0.000286	2.5085			
0.000288	2.50528			
0.00029	2.50689			
0.000292	2.50721			
0.000294	2.50818			
0.000296	2.50721			
0.000298	2.50657			
0.0003	2.50721			
0.000302	2.50625			
0.000304	2.51043			
0.000306	2.50786			
0.000308	2.50625			
0.00031	2.5056			
0.000312	2.5085			
0.000314	2.5085			
0.000316	2.50754			
0.000318	2.5085			
0.00032	2.50882			
0.000322	2.50818			
0.000324	2.50721			
0.000326	2.50882			
0.000328	2.51043			
0.00033	2.50786			
0.000332	2.50496			
0.000334	2.50818			
0.000336	2.50915			
0.000338	2.50657			
0.00034	2.50721			
0.000342	2.50947			
0.000344	2.50593			
0.000346	2.5085			
0.000348	2.50754			
0.00035	2.50689			
0.000352	2.50689			
0.000354	2.50593			
0.000356	2.50882			
0.000358	2.50818			
0.00036	2.50721			
0.000362	2.50625			
0.000364	2.50915			
0.000366	2.50786			
0.000368	2.50818			
0.00037	2.50786			
0.000372	2.50689			
0.000374	2.50786			
0.000376	2.50786			
0.000378	2.50818			
0.00038	2.50818			
0.000382	2.50721			
0.000384	2.50721			
0.000386	2.50947			
0.000388	2.50689			
0.00039	2.50657			
0.000392	2.50657			
0.000394	2.50915			
0.000396	2.50882			
0.000398	2.50947			
0.0004	2.50786			
0.000402	2.50786			
0.000404	2.5056			
0.000406	2.50721			
0.000408	2.50882			
0.00041	2.50786			
0.000412	2.50721			
0.000414	2.50818			
0.000416	2.50979			
0.000418	2.50754			
0.00042	2.50882			
0.000422	2.50915			
0.000424	2.50754			
0.000426	2.50721			
0.000428	2.50818			
0.00043	2.5085			
0.000432	2.50818			
0.000434	2.50593			
0.000436	2.50786			
0.000438	2.50689			
0.00044	2.50721			
0.000442	2.51076			
0.000444	2.50915			
0.000446	2.50721			
0.000448	2.50593			
0.00045	2.50625			
0.000452	2.50818			
0.000454	2.50786			
0.000456	2.50882			
0.000458	2.5085			
0.00046	2.50882			
0.000462	2.5085			
0.000464	2.50818			
0.000466	2.5085			
0.000468	2.50882			
0.00047	2.50754			
0.000472	2.50786			
0.000474	2.50721			
0.000476	2.50657			
0.000478	2.50721			
0.00048	2.5085			
0.000482	2.50721			
0.000484	2.50754			
0.000486	2.50721			
0.000488	2.5085			
0.00049	2.50754			
0.000492	2.50689			
0.000494	2.50786			
0.000496	2.50947			
0.000498	2.50593			
0.0005	2.50528			
0.000502	2.50915			
0.000504	2.50947			
0.000506	2.50721			
0.000508	2.51108			
0.00051	2.5085			
0.000512	2.50818			
0.000514	2.5085			
0.000516	2.50818			
0.000518	2.50882			
0.00052	2.50625			
0.000522	2.50721			
0.000524	2.5085			
0.000526	2.50947			
0.000528	2.50818			
0.00053	2.50754			
0.000532	2.5085			
0.000534	2.50689			
0.000536	2.50657			
0.000538	2.50721			
0.00054	2.5085			
0.000542	2.50786			
0.000544	2.50625			
0.000546	2.50915			
0.000548	2.50754			
0.00055	2.50496			
0.000552	2.50947			
0.000554	2.50721			
0.000556	2.50915			
0.000558	2.50786			
0.00056	2.50754			
0.000562	2.50882			
0.000564	2.50754			
0.000566	2.50754			
