Time - V_S	Amplitude - V_S	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0.000344	-0.1243	0.000344	0.10503	0.000344	0.0138778
0.000346	-0.137828	0.000346	0.118236	0.000346	0.0116231
0.000348	-0.145558	0.000348	0.127577	0.000348	0.0103347
0.00035	-0.149101	0.00035	0.13112	0.00035	0.00743591
0.000352	-0.147813	0.000352	0.129509	0.000352	0.00453708
0.000354	-0.136217	0.000354	0.122101	0.000354	0.000994059
0.000356	-0.123012	0.000356	0.11115	0.000356	-0.00190477
0.000358	-0.105619	0.000358	0.0953672	0.000358	-0.00448152
0.00036	-0.0830721	0.00036	0.0770079	0.00036	-0.00705826
0.000362	-0.0576268	0.000362	0.056394	0.000362	-0.00931291
0.000364	-0.0321815	0.000364	0.0328812	0.000364	-0.0106013
0.000366	-0.00834663	0.000366	0.0103347	0.000366	-0.0125338
0.000368	0.0183871	0.000368	-0.0138222	0.000368	-0.0125338
0.00037	0.0438324	0.00037	-0.0350803	0.00037	-0.0128559
0.000372	0.06348	0.000372	-0.0540838	0.000372	-0.013178
0.000374	0.0811951	0.000374	-0.0708326	0.000374	-0.0122117
0.000376	0.0969777	0.000376	-0.0840384	0.000376	-0.0115676
0.000378	0.106963	0.000378	-0.0937012	0.000378	-0.009635
0.00038	0.110828	0.00038	-0.0991767	0.00038	-0.00802454
0.000382	0.112116	0.000382	-0.101431	0.000382	-0.00609198
0.000384	0.109539	0.000384	-0.0985326	0.000384	-0.00383733
0.000386	0.101165	0.000386	-0.0924128	0.000386	-0.00158268
0.000388	0.0882812	0.000388	-0.0837163	0.000388	0.000671966
0.00039	0.0747533	0.00039	-0.0705105	0.00039	0.00260452
0.000392	0.0592928	0.000392	-0.0553722	0.000392	0.00453708
0.000394	0.0380347	0.000394	-0.0389454	0.000394	0.00614754
0.000396	0.018065	0.000396	-0.0221966	0.000396	0.00711382
0.000398	0.000671966	0.000398	-0.00480361	0.000398	0.00872428
0.0004	-0.0189757	0.0004	0.0129115	0.0004	0.0080801
0.000402	-0.0383012	0.000402	0.0296603	0.000402	0.00775801
0.000404	-0.0531175	0.000404	0.0428661	0.000404	0.0080801
0.000406	-0.0643907	0.000406	0.0544614	0.000406	0.00711382
0.000408	-0.0753419	0.000408	0.0644463	0.000408	0.00743591
0.00041	-0.08275	0.00041	0.0708882	0.00041	0.00582545
0.000412	-0.0850047	0.000412	0.073787	0.000412	0.00421499
0.000414	-0.0833942	0.000414	0.0741091	0.000414	0.00260452
0.000416	-0.0821058	0.000416	0.0715324	0.000416	0.000671966
0.000418	-0.0743756	0.000418	0.066701	0.000418	-0.000294312
0.00042	-0.0631024	0.00042	0.0583266	0.00042	-0.00254896
0.000422	-0.0518291	0.000422	0.0480196	0.000422	-0.00351524
0.000424	-0.0405559	0.000424	0.0367463	0.000424	-0.00576989
0.000426	-0.0244513	0.000426	0.0232185	0.000426	-0.00641407
0.000428	-0.00866872	0.000428	0.0103347	0.000428	-0.00705826
0.00043	0.00518126	0.00043	-0.00351524	0.00043	-0.00738035
0.000432	0.0183871	0.000432	-0.0160769	0.000432	-0.00802454
0.000434	0.0332033	0.000434	-0.0276722	0.000434	-0.00802454
0.000436	0.0451208	0.000436	-0.0376571	0.000436	-0.00738035
0.000438	0.0518847	0.000438	-0.0466757	0.000438	-0.00641407
0.00044	0.059937	0.00044	-0.0527954	0.00044	-0.00576989
0.000442	0.0650905	0.000442	-0.0566605	0.000442	-0.00544779
0.000444	0.0638021	0.000444	-0.0585931	0.000444	-0.00415942
0.000446	0.0628359	0.000446	-0.0579489	0.000446	-0.00287105
0.000448	0.0596149	0.000448	-0.0553722	0.000448	-0.00158268
0.00045	0.0551056	0.00045	-0.0502187	0.00045	-0.000294312
0.000452	0.0451208	0.000452	-0.0440989	0.000452	0.000994059
0.000454	0.0357801	0.000454	-0.0360466	0.000454	0.00196034
